Era,Count
清康熙戊辰年,14
清光绪甲申年,14
清嘉庆癸亥年,17
清乾隆戊寅年,4
清道光庚寅年,3
清嘉庆丙辰年,11
清同治己巳年,35
清乾隆乙亥年,5
清光绪十八年,5
清道光乙巳年,13
清道光癸卯年,24
清道光己酉年,8
清光绪乙酉年,6
清道光甲辰年,20
清咸丰辛亥年,3
清光绪丁丑年,15
清乾隆己亥年,29
清道光乙未年,13
清道光壬寅年,2
清嘉庆元年,6
清光绪丙子年,10
清光绪壬辰年,5
清康熙丁酉年,13
民国十九年,1
清乾隆癸卯年,16
清同治七年,7
清乾隆庚子年,6
清乾隆丙子年,10
清康熙甲午年,10
清乾隆丁未年,3
清同治甲戌年,15
康熙丁未年,1
清道光甲申年,4
清同治丁卯年,31
清同治三年,5
清顺治乙酉年,3
明宣德元年,1
清雍正甲寅年,4
清同治四年,8
清嘉庆二年,4
清道光己丑年,10
清乾隆甲戌年,3
清光绪癸巳年,36
明万历丙辰年,8
清乾隆戊戌年,12
清乾隆庚戌年,12
清嘉庆庚辰年,30
清嘉庆戊辰年,5
清道光辛丑年,14
清乾隆丙辰年,5
清道光丙午年,32
清道光己亥年,5
清康熙癸未年,3
清乾隆壬寅年,15
清乾隆丁卯年,6
清光绪十九年,6
清光绪乙未年,3
清咸丰己未年,9
清乾隆庚午年,11
清嘉庆七年,4
清康熙癸酉年,4
清康熙丁未年,14
清光绪丙戌年,7
清康熙戊寅年,2
清道光丁卯年,8
清康熙乙亥年,4
清道光六年,9
清康熙癸巳年,5
明崇祯己卯年,1
清乾隆癸丑年,12
清雍正二年,1
清道光癸未年,5
明崇祯乙亥年,1
清道光辛巳年,9
清光绪戊寅年,9
清光绪年,1
清光绪己丑年,6
清光绪四年,18
清康熙丙子年,1
清乾隆乙未年,5
清嘉庆己卯年,6
清嘉庆戊午年,2
清光绪庚寅年,5
清咸丰戊午年,1
清道光庚戌年,4
清光绪壬午年,4
清光绪辛卯年,8
清乾隆甲辰年,13
现当代（1949—）,2
清光绪七年,7
清光绪壬寅年,3
清光绪丁亥年,4
清乾隆乙酉年,1
清道光七年,2
清同治乙丑年,3
清乾隆丙寅年,3
清嘉庆壬申年,15
清嘉庆乙丑年,3
清康熙辛卯年,159
清光绪己卯年,18
清光绪乙亥年,2
清光绪戊子年,7
清嘉庆三年,12
清道光甲午年,1
清光绪二十九年,3
清光绪庚辰年,5
清嘉庆壬戌年,2
清光绪十年,19
清道光丙申年,2
清道光十六年,6
清康熙丙辰年,1
明万历庚子年,1
清顺治己亥年,1
清雍正癸丑年,1
清雍正丙午年,1
清雍正乙巳年,1
清咸丰七年,2
清嘉庆甲戌年,19
清康熙甲申年,5
清乾隆六年,4
清乾隆甲申年,1
清同治丙寅年,3
清咸丰壬子年,4
清乾隆丙午,1
清光绪八年,11
民国二年,1
清同治十年,4
清嘉庆辛酉年,1
清雍正庚戌年,2
明崇祯庚辰年,1
清咸丰乙卯年,1
清乾隆甲午年,3
清乾隆己酉年,1
清乾隆丙戌年,1
清同治六年,4
清道光乙亥年,1
清道光十二年,1
清嘉庆丁巳年,1
清光绪丁未年,1
清光绪癸卯年,3
清康熙丁巳年,1
明万历甲午年,1
清康熙乙丑年,1
清嘉庆二十一年,2
清嘉庆六年,1
清乾隆晚期,1
清康熙己亥年,21
清乾隆辛酉年,1
民国三十五年,1
清康熙甲戌年,1020
现,1
清咸丰庚申年,33
清嘉庆丁卯年,1
民初,20
近现代（1840-1949）,1
汉末,1
唐晚期,1
清康熙癸卯年,1
同治丁卯年,4
晋魏,1
清康熙丙申年,48
唐宋元,1
宋元明,1
清光绪三十一年,414
法书,1
清光绪二十七年,33
清光绪十三年,521
清光绪三十二年,44
清光绪三十三年,58
清光绪三十四年,23
康熙己亥年,1
清康熙壬辰年,6
清光绪十六年,1
清康熙乙未年,1
19世纪晚期,1
清雍正丁未年,2
元泰定,1
元至大,2
金承安,11
清光绪己亥年,2
明天启元年,1
清康熙辛酉年,1
后汉,11
明永乐二年,1
清康熙庚寅年,2
清康熙十七年,1
清光绪二十五年,1
清光绪二十四年,1
清光绪二十六年,1
清康熙壬寅年,1
清康熙六十一年,1
2008年,1
元至正十年,9
清末期,1079
宋皇祐,1
宋元丰六年,1
汉建宁元年,1
明万历丁巳年,12
金*,12
1949年,1
1950年,38
1951年,37
1952年,17
1953年,26
1940年,20
1945年,19
晋太康,2
明德化,1
南宋端平三年,1
西汉甘露二年,1
清乾隆庚申年,1
清同治壬戌年,1
清道光二十七年,1
清乾隆乙巳年,2
东汉建宁三年,1
北宋康定元年,1
明万历己亥年,1
清嘉道,50
宋元,9
清皇太极,1
隋代,97
金代,135
唐代,2
清光绪十一年,16
清光绪五年,8
1865年,2
1866年,5
1866,1
1845年,1
后魏,1
梁,1
中华民国,1
明嘉靖三十九年,1
1954年,1
1935年,2
1920年,9
北宋宣和,1
宋元祐,1
汉建安,1
晋天纪,1
汉熹平,1
晋永安,1
元至元,1
金泰和,1
金贞元,1
辽天庆,1
元至顺,1
1930年,1
明永乐十七年,2
明万历十二年,3
明万历三十二年,1
乾隆,2
1012314.0,1
书版,1
元-明,3
新石器,1
晚明,98
初唐,4
陏,1
清*康熙,2
书00037770-5/6,1
乾隆清*,1
1110015.0,1
宋？,1
隋—唐,1
金-元,1
清康熙*,1
清？,1
雍正,1
清清雍正,1
东周,2
汉熹平四年,1
汉中平三年,1
清嘉太,1
不定,1
清道光*,1
万历,1
清*康熙*,2
清*雍正,1
春秋战国,3
史前,1
金末元初,1
光绪,1
宋*,2
清堤防,1
